,dt,A_mean,dA_mean,B_mean,dB_mean,sigmaN_mean,tau_mean,dtau_mean,dsigmaN_mean
0,0.01,1.017435756318492,0.1453412658762186,0.9901927261837542,0.0013862335358631,0.501314047583299,1.0277420688456824,0.1478464080027322,0.0035448256255022625
1,0.0914285714285714,1.0087108138369216,0.0473654031477298,0.9128484099760936,0.0040798883537576,0.500563701312281,1.005702029971372,0.0494348861174735,0.003539519876137514
2,0.1728571428571428,0.979834678386254,0.0333540894562996,0.8397817746332535,0.0054267091520776,0.5028112529806174,0.9917163292469904,0.0367611583621166,0.0035554124663949916
3,0.2542857142857143,1.0070851958573932,0.0285127461983666,0.7745689488188685,0.0063218124188187,0.4968252909429861,0.9977362138426652,0.0319412636135818,0.003513085322907649
4,0.3357142857142857,0.991557528057989,0.0245511336596073,0.7124525821826125,0.0070146731915061,0.4995813411951882,0.992341456251714,0.0288697117625439,0.003532573541133879
5,0.4171428571428571,0.9950860651958252,0.0224382844190237,0.6594494246827064,0.0075141306654711,0.4989966250275102,1.004482685685486,0.0275461410373112,0.0035284389734615332
6,0.4985714285714286,1.0107785913090896,0.0210741897134972,0.6079972265425393,0.0079360129052637,0.4927648072695224,1.004481336466458,0.0263992598861495,0.003484373367503614
7,0.5800000000000001,0.9960937357517372,0.0195937147854404,0.5642255492306701,0.0082516317655169,0.5052696550475926,1.0169097329522403,0.0260501469181526,0.0035727959941194037
8,0.6614285714285715,1.0037443511514164,0.0187964890468536,0.5229009435055862,0.0085217113779937,0.5014113756318814,1.0215633911226012,0.0257023342843878,0.0035455138387337857
9,0.7428571428571429,0.9903028233624876,0.0177355990697966,0.4812233695682628,0.0087624796294421,0.5080497856969091,1.018195799534307,0.0253910404951956,0.0035924544864665664
10,0.8242857142857143,1.0011821552951954,0.0172083845687526,0.4387712713506303,0.0089814136611611,0.500117957933848,1.003801233387355,0.0249952398100295,0.003536367994481924
11,0.9057142857142858,0.9735973726597644,0.0163831864861249,0.4152895662668072,0.0090920920063485,0.5211530817433355,1.034019504960979,0.0258156255757617,0.0036851087813697964
12,0.9871428571428572,0.9936006381515486,0.0162481816615326,0.3801871870566836,0.0092467611450366,0.5086878037452711,1.0224943081807976,0.025744943744553,0.0035969659553517284
13,1.0685714285714287,0.9478429474746396,0.0152836191332272,0.3616972532459638,0.0093181797945035,0.549710982240461,1.053844169373798,0.0267517742367069,0.0038870436323494777
14,1.15,0.948138825657954,0.0150390741502445,0.3384709312338825,0.0094054191910039,0.5441070966635556,1.0643617979119329,0.0273552738509131,0.0038474181774252447
15,1.2314285714285715,0.917466943836035,0.0143514814754524,0.3174531752803196,0.0094778407630734,0.5678045321309231,1.076254246244676,0.0280661537478199,0.004014984350582306
16,1.312857142857143,0.9427999638033964,0.014501092682269,0.2899501922262314,0.0095646701306647,0.5530117353853843,1.06383642525028,0.0284278251137227,0.0039103834816674584
17,1.3942857142857144,0.894278542977277,0.0136742066878011,0.2805022270606508,0.0095900226751309,0.5925887355308058,1.1025879602079645,0.0297777692278619,0.004190235133485944
18,1.4757142857142858,0.913593246626245,0.0137306025410084,0.2477328428993829,0.0096848292918739,0.5659549562643675,1.0594540311636895,0.0297585161686064,0.004001905874206702
19,1.5571428571428572,0.8113334736064995,0.0122742272433963,0.2603910565720197,0.0096498416913459,0.6576746569419554,1.1602960387438828,0.0320535954496573,0.004650462097381929
20,1.6385714285714286,0.8385016327256591,0.0124777972250575,0.2265397251517274,0.0097350079895307,0.6270572076055028,1.1058679171834624,0.0321333586518907,0.0044339640368975175
21,1.7200000000000002,0.8399266384624628,0.0124247526415564,0.2134975721203437,0.0097625369993384,0.6342474859810675,1.117436603999587,0.0332754461982683,0.004484806982877326
22,1.8014285714285716,0.7726080372372286,0.0114550544020217,0.2177464357497279,0.0097565263860724,0.6906688156732983,1.1837053056808675,0.034910375043379,0.004883766031166708
23,1.882857142857143,0.6948154059847768,0.0103290528298487,0.2298211944041451,0.0097136821894832,0.7340330665252,1.2917950563538765,0.0376054138924861,0.00519039758955125
24,1.9642857142857144,0.7008435765200731,0.0103094118697857,0.2008459035962251,0.0097892083111665,0.7360232071517363,1.2273304348602825,0.0375180936629084,0.005204470008876637
25,2.045714285714286,0.6772028194020093,0.0099370593350614,0.1941191450034016,0.0097993848571619,0.7504906649618287,1.2534052125331347,0.0389850467226598,0.005306770384117103
26,2.127142857142857,0.6939681329029339,0.01014327040284,0.1852775435526828,0.0098132965667622,0.7408676620400406,1.2694036417737893,0.0403808892234209,0.005238725477903361
27,2.2085714285714286,0.5148777594843477,0.0076225980861662,0.2249978843308333,0.0097117484268864,0.850744338461929,1.5042857313921838,0.0445036873910749,0.006015670907824933
28,2.29,0.5817826172984378,0.0084808594877248,0.1793099112277266,0.0098195485410826,0.8136147123889709,1.341618150996252,0.0436250985889421,0.005753124804033838
29,2.3714285714285714,0.5303228032657882,0.0077459638772896,0.187940479116745,0.0098061835147196,0.845080844753437,1.4263326714061983,0.0453517014673683,0.005975623959760113
30,2.452857142857143,0.4644541194404724,0.0067845610394752,0.1834405505555649,0.0098124466971242,0.8833097746404011,1.4550247070101976,0.0469083427385869,0.0062459433153658865
31,2.5342857142857143,0.4339261651218655,0.0063707984714428,0.209468904778885,0.0097143955740074,0.9058432935673836,1.6857185632037648,0.0520617137307109,0.006405279355738534
32,2.6157142857142857,0.3757686794809393,0.0055598895989541,0.2316922950875267,0.0096749641573507,0.931838538953723,1.8397980909741751,0.0543377054259818,0.006589093498651424
33,2.697142857142857,0.4058331614159484,0.0059609880524047,0.2353363195548127,0.0095294132198919,0.9093724178633052,2.2603334545680878,0.0709395728720103,0.006430234032951498
34,2.7785714285714285,0.2432976679563022,0.0036880214786392,0.2900604931134228,0.0094836284817143,1.0003290290931337,2.362340376571292,0.0651336789487602,0.0070733943988951
35,2.86,0.2227958072649105,0.0033901450628069,0.313381669006872,0.0093593150980666,1.0106933319951623,2.8206607624621536,0.0798994753381038,0.007146681087538059
36,2.9414285714285717,0.2124967729858436,0.003247128702283,0.3575285785940691,0.0090633729411197,1.0194979937283557,3.5898753894215787,0.1031729808622643,0.007208939447714006
37,3.0228571428571427,0.1945579483379822,0.0029872441091134,0.3515317674854193,0.009148858384212,1.018812596373742,3.4968145016150247,0.0995696483054023,0.007204092956541459
38,3.104285714285714,0.0899591277616769,0.001526828716519,0.4530456995694911,0.0086385938163179,1.0727361194750509,5.009240144476336,0.143143379966479,0.007585389845045509
39,3.185714285714285,0.1154744542784653,0.0019122559958957,0.4879735023878127,0.0083575554287139,1.0657170291947755,5.766300583445312,0.1648340831618964,0.0075357573816960755
40,3.267142857142857,0.0922955555921013,0.0014998942518772,0.4682351121829408,0.0085665766532256,1.0737040265431428,5.199419657283109,0.1427441498323357,0.007592233981559571
41,3.3485714285714288,0.0590346632385622,0.0011551293777268,0.6123848156408974,0.0075840064002739,1.0895052941655412,8.53733420078081,0.2534730741970922,0.007703965816430984
42,3.43,0.053965584756538,0.0009597381633715,0.5114507796746552,0.0082907996045751,1.095948361755626,6.335402949773107,0.1779558107078757,0.007749525184276906
43,3.511428571428572,0.0435669685522299,0.00080861648496,0.497390709338198,0.0083832650460933,1.099339855117593,6.290512523047851,0.1778196200174096,0.007773506663822867
44,3.592857142857143,0.0306643999699019,0.0005996241264597,0.5599476972539563,0.0081663182868367,1.102247982050354,6.767722798863846,0.1814490575895046,0.007794070226569931
45,3.6742857142857135,0.0309616893984567,0.000566548384099,0.5072262800485138,0.0085107140559173,1.1073894966434346,5.877840249569148,0.1540437890458179,0.007830426224913301
46,3.755714285714286,0.0361068608352846,0.0006328324778448,0.4053268844909881,0.0088981581849015,1.1000515692718482,4.822679945772503,0.1413543153109098,0.00777853924287027
47,3.837142857142857,0.028686585974959,0.0005564204241912,0.5271686365230739,0.0083288588475372,1.1046549503152072,6.805959323371252,0.1836773348223812,0.007811090062391717
48,3.9185714285714286,0.0209883404094133,0.0004043017109213,0.4062708976774673,0.0088464719885878,1.1116754366849648,5.522148983342856,0.1568310538031251,0.00786073239758455
49,4.0,0.0269965218567792,0.000509585919719,0.4829359538664007,0.0084984137234005,1.1045552527550102,6.484779600146025,0.1807090651858517,0.007810385094182887
